n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
255,true,0.47568313072990737,-901556.7340028811,908901.2053994939,0.07198153785429895,2.2237489678664133,8,false,0.013650625764293989,0.013650625764293989,true
511,true,0.9998458301234743,-901563.1531823291,908881.446544798,-0.03369142487645149,-0.0802499947603792,9,false,0.0070824729695280805,0.0070824729695280805,true
511,true,0.9762615558337432,-901568.2734693451,908985.6883870793,0.07813227840233594,0.11387406336143613,9,false,0.010823878735765567,0.010823878735765567,true
255,true,0.9778081635848951,-901566.6672780346,908833.5759934677,-0.05423550144769251,-0.369486092007719,8,false,0.01569630929477122,0.01569630929477122,true
9,true,0.11363580028506047,-901565.2121840396,909039.74150352,0.015338272089138627,5436.529279909679,3,true,0.022746541190528817,0.022746541190528817,true
1023,true,0.9996418479111082,-901527.3252123618,908832.9917804477,-0.00792574044317007,-0.046247759368270636,10,false,0.005745383751981224,0.005745383751981224,true
511,true,0.9957347737356076,-901567.136306704,908865.7651972192,-0.008807648904621601,-0.08112985815387219,9,false,0.008709480433708592,0.008709480433708592,true
255,true,0.6494645957100785,-901630.1170527609,909009.5181088077,-0.11398389842361212,1.1491706541273743,8,false,0.01304576082047985,0.01304576082047985,true
511,true,0.9810074217601674,-901658.2793093183,909104.9687896306,0.05010227707680315,0.06534206576179713,9,false,0.009779287826637732,0.009779287826637732,true
255,true,0.8524145914851918,-901575.6445825589,908989.3824457837,-0.07639481395017356,0.4415917086880654,8,false,0.014162568473700283,0.014162568473700283,true
255,true,0.9467811604446511,-901533.9584528096,908941.7848564645,0.1301402400713414,0.21738541370723397,8,false,0.01586632358135557,0.01586632358135557,true
12,true,0.04491026903045924,-901541.2499115298,908938.6634746846,0.6246072829235345,1165.4176283754641,3,true,0.02136083548828128,0.02136083548828128,true
1023,true,0.9993740551341155,-901445.1806419912,908810.6740920001,-0.030283082276582718,-0.05958946200553328,10,false,0.004940204582078495,0.004940204582078495,true
511,true,0.9970752409879723,-901574.3709217727,908810.590373627,-0.05335233348887414,-0.06710795662365854,9,false,0.0073847706033014476,0.0073847706033014476,true
511,true,0.9060032528785611,-901621.6304857754,908988.4412246408,0.04323304840363562,0.24131470499560237,9,false,0.010948676261111553,0.010948676261111553,true
255,true,0.8949145437001442,-901630.5779566085,909033.9060111674,-0.0551342589315027,0.31513238442130387,8,false,0.01357478365867159,0.01357478365867159,true
255,true,0.9647542529577569,-901628.1233048764,908972.5953603213,-0.06825145101174712,0.1540027258452028,8,false,0.016444396077841327,0.016444396077841327,true
10,true,0.20298223172975574,-901627.9981483233,909008.966413676,0.2049694622401148,1668.1313025102718,3,true,0.02271657073855363,0.02271657073855363,true
511,true,0.9873402358859258,-901587.9622558338,908928.7583072899,0.016777144046500325,0.04539346066303551,9,false,0.0073737594294741365,0.0073737594294741365,true
